"id","category","pattern_name","description","user_or_business_purpose","observed_examples","source_urls","award_or_recognition","suitable_context","unsuitable_context","accessibility_considerations","performance_considerations","implementation_complexity","relevance_to_this_repo","recommended_application","confidence"
"HIER-03","Content hierarchy","Context before choices","Place the Store identity or current-shelf context immediately above the category choices.","Frames the decision and prevents the rail from looking like detached site-wide navigation.","RCA and Because Recollection establish a branded frame before deeper catalog exploration.","https://www.cssdesignawards.com/sites/rca-records/43114/; https://www.cssdesignawards.com/woty/because-recollection/27581/","RCA: CSSDA Special Kudos 2023; Because Recollection: CSSDA WOTY 2016","Store pages that currently separate hero and navigation weakly.","Compact utility bars where context is already obvious from persistent chrome.","DOM order should match visual order.","No additional asset is necessary.","low","high","Keep Store/current shelf copy adjacent to the category component.","high"
"HIER-04","Content hierarchy","Clear control-to-catalog break","End the navigation band before product cards or discovery panels begin.","Separates deciding where to browse from evaluating products.","The Cloister and NAMESAKE use controlled whitespace and distinct browse/product zones.","https://www.awwwards.com/sites/the-cloister; https://www.cssdesignawards.com/sites/namesake/43003","The Cloister: Awwwards HM 2023; NAMESAKE: CSSDA WOTD 2023","Catalog pages with repeated product cards.","Immersive narratives where navigation and content intentionally blend.","Do not rely on whitespace alone; retain a structural boundary.","Static spacing and border rules only.","low","high","Preserve a clear bottom rule and measured gap before Store shelf content.","high"
"NAV-01","Navigation","Native destination links","Use anchors with href for every category instead of tabs, buttons, or scripted divs.","Preserves expected navigation, open-in-new-tab, copy-link, and no-JavaScript fallback behavior.","Awarded commerce and editorial references use destination navigation for browse layers; W3C explicitly recommends native links.","https://www.w3.org/WAI/ARIA/apg/patterns/link/; https://www.cssdesignawards.com/sites/namesake/43003","W3C APG guidance; NAMESAKE: CSSDA WOTD 2023","Distinct Store routes.","Client-only views with no meaningful URL or history entry.","Native anchors supply standard keyboard and assistive-technology behavior.","Avoids client code and hydration.","low","high","Preserve the current anchor markup and app-shell interception.","high"
"NAV-02","Navigation","Compound active marker","Combine heavier text, a 2–3px rule, and a low-opacity surface for the current shelf.","Makes location easier to scan while retaining the raw monochrome system.","LNWY uses a restrained active marker; UPPERGROUND shows how one label colour can carry identity.","https://www.awwwards.com/sites/lnwy; https://www.awwwards.com/sites/upperground","LNWY: Awwwards HM 2017; UPPERGROUND: Awwwards HM 2023","Small dark category rails.","Dense multilevel navigation where large active surfaces compete with hierarchy.","Do not use burgundy alone; aria-current must remain and focus needs a separate treatment.","CSS colour and border transitions only.","low","high","Use the existing Store accent token with a non-colour rule and weight cue.","high"
"NAV-03","Navigation","Sequence-numbered destinations","Prefix stable shelves with small 01–04 numbers.","Creates record-catalog character and improves left-to-right scanning without icons.","RCA, District, and Because Recollection use index and archive language as part of music discovery.","https://www.cssdesignawards.com/sites/rca-records/43114/; https://www.cssdesignawards.com/sites/district/35283/; https://www.cssdesignawards.com/woty/because-recollection/27581/","RCA: CSSDA Special Kudos 2023; District: CSSDA WOTD 2019; Because Recollection: CSSDA WOTY 2016","A fixed four-item navigation where order is meaningful and stable.","Dynamic categories that frequently reorder or localize differently.","Numbers are supplementary; accessible names should still foreground category labels.","Plain text adds no meaningful cost.","low","high","Use 01–04 as quiet mono metadata in the record-crate direction.","medium"
"NAV-04","Navigation","Optional live shelf counts","Show a small derived item count when it helps users choose between shelves.","Sets assortment expectations before navigation and can reduce empty-route visits.","Record-store and archive metaphors in Because Recollection and Crappy Explanation support count-like catalog metadata.","https://www.cssdesignawards.com/woty/because-recollection/27581/; https://www.cssdesignawards.com/sites/crappy-explanation/38759/","Because Recollection: CSSDA WOTY 2016; Crappy Explanation: CSSDA Special Kudos 2021","Small catalogs where counts are current and materially different.","Rapidly changing counts, very large numbers, or counts that add noise without helping choice.","Do not announce count changes as live status unless they change in-session.","Derive at build time from the already-loaded catalog; no extra request.","low","medium","Treat counts as removable metadata in the record-crate PoC, not a requirement.","medium"
"TYPE-01","Typography","Display voice plus mono utility","Pair the existing distressed display face for Store/current shelf with mono uppercase labels for navigation metadata.","Expresses underground-label character while keeping controls systematic.","RCA and District use bold type as music identity; i-D uses strong display hierarchy with compact navigation.","https://www.commarts.com/webpicks/rca-records; https://www.cssdesignawards.com/sites/district/35283/; https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/magazine-or-publication/321852/id","RCA: Communication Arts Webpick; District: CSSDA WOTD 2019; i-D: Webby winner 2025","Editorial mastheads and compact category systems.","Long body copy or very small controls using distressed display fonts.","Keep decorative display type out of small labels and preserve readable fallback fonts.","Reuse loaded Veneer/Bebas and Geist Mono; add no font request.","low","high","Use Veneer only for masthead hierarchy and Geist Mono for shelf links and metadata.","high"
"TYPE-02","Typography","Readable uppercase floor","Use 12–13px minimum for tracked uppercase category labels rather than the current 11px.","Improves scanning on dark backgrounds without abandoning the label's utility typography.","LNWY and The Cloister show sparse systems where small labels have room to breathe.","https://www.awwwards.com/sites/lnwy; https://www.awwwards.com/sites/the-cloister","LNWY: Awwwards HM 2017; The Cloister: Awwwards HM 2023","Short four-item category labels.","Dense legal, metadata, or multilingual labels that require mixed case.","Test at zoom and on narrow screens; uppercase and tracking can reduce word-shape recognition.","CSS only.","low","high","Raise category text one step while retaining the current mono treatment.","high"
"TYPE-03","Typography","Tracking scaled with text size","Reduce letter spacing as labels grow so BlackBox Releases stays compact and readable.","Maintains the industrial mono voice without creating awkward line length.","i-D and RCA demonstrate controlled type contrast rather than uniform extreme tracking.","https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/magazine-or-publication/321852/id; https://www.commarts.com/webpicks/rca-records","i-D: Webby winner 2025; RCA: Communication Arts Webpick","Uppercase labels between 12px and 14px.","Decorative poster headlines where exaggerated tracking is the composition.","Avoid spacing that makes words hard to parse for low-vision and cognitive users.","CSS variable or utility change only.","low","high","Tune tracking from 0.18em toward roughly 0.12–0.16em after visual testing.","medium"
"TYPE-04","Typography","Two-level type hierarchy","Limit the header to one display level and one utility level.","Keeps the component authored but calm and prevents an award-site aesthetic from becoming a type sampler.","Analogue Foundation and LNWY rely on restraint; The Music Project shows the risk of turning texture and novelty into the main interface.","https://winners.webbyawards.com/2024/websites-and-mobile-sites/general-desktop-mobile-sites/music/276789/analogue-foundation; https://www.awwwards.com/sites/lnwy; https://www.cssdesignawards.com/sites/the-music-project/48363/","Analogue Foundation: Webby nominee 2024; LNWY: Awwwards HM 2017; The Music Project: CSSDA Special Kudos 2025","Small headers with four choices.","Long editorial feature pages needing a broader scale.","Ensure labels do not depend on stylized glyphs for meaning.","Reuses existing font files and reduces style complexity.","low","high","Do not introduce a third typeface, icon font, or decorative lettering style.","high"
"COLOR-01","Colour systems and contrast","Single screen-print accent","Use one existing burgundy accent as a small active-state hit against the monochrome base.","Adds Store-specific identity without weakening the label's dark visual continuity.","UPPERGROUND uses a concentrated label palette; underground poster systems often gain force from one registration colour rather than many.","https://www.awwwards.com/sites/upperground; https://www.cssdesignawards.com/sites/make-it-rain-records/32969/","UPPERGROUND: Awwwards HM 2023; Make It Rain Records: CSSDA WOTD 2018","Active rules, registration marks, and tiny metadata accents.","Large text areas or broad backgrounds where burgundy contrast is insufficient.","Verify accent contrast and pair it with border/weight changes.","Existing CSS tokens; no asset.","low","high","Use --store-accent and --store-accent-surface only on active or focused Store elements.","high"
"COLOR-02","Colour systems and contrast","Monochrome remains dominant","Keep off-black, near-white, muted grey, and border grey as the main system.","Preserves BlackBox's established underground tone and lets artwork remain the loudest colour source.","LNWY is explicitly black and white; Analogue Foundation uses controlled material restraint.","https://www.awwwards.com/sites/lnwy; https://winners.webbyawards.com/2024/websites-and-mobile-sites/general-desktop-mobile-sites/music/276789/analogue-foundation","LNWY: Awwwards HM 2017; Analogue Foundation: Webby nominee 2024","Label stores with visually varied cover art.","Brand systems whose identity requires multiple primary colours.","Muted text must still meet contrast requirements at small sizes.","No new colour assets or filters.","low","high","Keep the rail neutral until hover, focus, or current state.","high"
"COLOR-03","Colour systems and contrast","Layered dark surfaces without glow","Differentiate the active cell with a subtle tint, not gradient, glow, glass, or shadow.","Creates state depth while retaining a print/editorial rather than club-tech or luxury feel.","The Cloister and NAMESAKE use controlled commerce surfaces; Subterranean Dreams shows immersive colour that should not transfer to a utility control.","https://www.awwwards.com/sites/the-cloister; https://www.cssdesignawards.com/sites/namesake/43003; https://www.cssdesignawards.com/sites/subterranean-dreams/45034/","The Cloister: Awwwards HM 2023; NAMESAKE: CSSDA WOTD 2023; Subterranean Dreams: CSSDA Special Kudos 2024","Square category cells on an off-black page.","Interfaces where elevation conveys actual layering or modality.","Surface tint cannot be the only current-state cue.","One rgba background declaration.","low","high","Apply the existing 14% Store accent surface to the current cell only.","high"
"COLOR-04","Colour systems and contrast","Three-step text contrast","Use foreground for current labels, muted foreground for inactive labels, and a quieter tone for index/count metadata.","Clarifies priority without adding more colours.","i-D and LNWY use typographic contrast inside limited palettes.","https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/magazine-or-publication/321852/id; https://www.awwwards.com/sites/lnwy","i-D: Webby winner 2025; LNWY: Awwwards HM 2017","Dark headers with compact metadata.","Very small text where the third tone would fail contrast.","Metadata still needs readable contrast; do not fade below legibility for style.","CSS variables already exist.","low","high","Use foreground, muted-foreground, and a tested metadata opacity; remove metadata if contrast becomes marginal.","high"
"SPACE-01","Spacing and density","44px minimum interaction row","Keep every category link at least 44px high even when the visible text is compact.","Makes the rail comfortable for touch and imprecise pointing while preserving visual restraint.","Recognized responsive references such as UPPERGROUND and The Cloister show dedicated mobile handling; W3C documents minimum target sizing.","https://www.w3.org/WAI/WCAG22/Understanding/target-size-minimum.html; https://www.awwwards.com/sites/upperground; https://www.awwwards.com/sites/the-cloister","WCAG 2.2 understanding guidance; UPPERGROUND and The Cloister: Awwwards HM","All desktop and mobile shelf links.","Inline prose links where target height follows line height.","Preserve or exceed the existing min-h-11 target.","No performance impact.","low","high","Keep min-h-11 or increase cell height while centering label content.","high"
"SPACE-02","Spacing and density","Consistent cell inset","Use one repeatable horizontal and vertical inset across all shelf cells.","Creates record-bin rhythm and prevents the long BlackBox Releases label from feeling cramped.","Musical Zoo and RCA use repeatable grid spacing as part of the composition.","https://www.cssdesignawards.com/sites/musical-zoo-festival/33176/; https://www.cssdesignawards.com/sites/rca-records/43114/","Musical Zoo: CSSDA WOTD 2018; RCA: CSSDA Special Kudos 2023","Equal-cell category grids.","Freeform collage layouts where deliberate misalignment is the primary idea.","Allow text wrapping without clipping at zoom.","CSS Grid gap and padding only.","low","high","Use roughly 16–20px mobile inset and 20–24px desktop inset.","high"
"SPACE-03","Spacing and density","Negative space as curation","Use measured empty space around the rail instead of adding decorative containers.","Makes a small catalog feel intentional and curated rather than underfilled.","Analogue Foundation, LNWY, and The Cloister use restraint and breathing room as part of brand expression.","https://winners.webbyawards.com/2024/websites-and-mobile-sites/general-desktop-mobile-sites/music/276789/analogue-foundation; https://www.awwwards.com/sites/lnwy; https://www.awwwards.com/sites/the-cloister","Analogue Foundation: Webby nominee 2024; LNWY and The Cloister: Awwwards HM","Small independent catalogs.","Dense operational interfaces or long category lists.","Whitespace must not separate labels from their controls or hide focus boundaries.","No additional resource cost.","low","high","Let the rule-bounded band breathe; do not wrap it in another card.","high"
"SPACE-04","Spacing and density","Metadata density ceiling","Allow at most one index and one count per category; remove counts before shrinking text.","Protects clarity and keeps the underground reference from becoming decorative clutter.","RCA and The Music Project show high-expression systems whose novelty would overwhelm a four-choice utility if copied wholesale.","https://www.commarts.com/webpicks/rca-records; https://www.cssdesignawards.com/sites/the-music-project/48363/","RCA: Communication Arts Webpick; The Music Project: CSSDA Special Kudos 2025","Record-crate cells with short labels.","Analytics dashboards or archival catalogs where metadata is the core task.","Never reduce label size or contrast to preserve optional metadata.","Less DOM and CSS is preferable.","low","high","Prototype counts, but make their deletion the first simplification if the rail feels busy.","high"
"COMP-01","Components and reusable patterns","One semantic category component","Keep markup, state styling, category order, and URL generation in the existing StoreCategoryNavigation component.","Prevents route variants from drifting and keeps the visual rule change localized.","Awarded systems such as RCA and RTRFM depend on repeatable content modules rather than page-specific navigation copies.","https://www.commarts.com/webpicks/rca-records; https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/music/321707/rtrfm--the-sound-alternative","RCA: Communication Arts Webpick; RTRFM: Webby winner 2025","All current Store collection routes.","A future product where categories behave differently per route.","Centralization should preserve nav semantics and aria-current.","One server-rendered component; no hydration.","low","high","Change the existing component rather than adding a new navigation abstraction.","high"
"COMP-02","Components and reusable patterns","Data-driven cells","Render each visual cell from the existing category registry rather than hard-coding four blocks.","Keeps conditional Merch behavior and route contracts intact.","NAMESAKE and Studio KARO demonstrate systematic commerce presentations across changing content.","https://www.cssdesignawards.com/sites/namesake/43003; https://www.cssdesignawards.com/sites/studio-karo/47898/","NAMESAKE: CSSDA WOTD 2023; Studio KARO: CSSDA WOTD 2025","Existing category map with stable ids and labels.","One-off campaign pages with intentionally bespoke links.","Generated link text and current state must remain complete and correct.","Build-time iteration only.","low","high","Continue mapping getDiscoverableStoreCatalogCategories and add visual metadata inside each map result.","high"
"COMP-03","Components and reusable patterns","Counts derived from catalog authority","If counts are shown, calculate them from the same collection entries already used to discover categories.","Avoids stale editorial numbers and duplicate content ownership.","Because Recollection and archive-led music sites make catalog metadata feel authoritative because it belongs to the catalog system.","https://www.cssdesignawards.com/woty/because-recollection/27581/; https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/music/332153/apple-music-100-best-albums--microsite","Because Recollection: CSSDA WOTY 2016; Apple Music 100: Webby nominee 2025","Static catalogs where entries are already loaded.","Counts requiring a separate runtime service or eventually consistent search index.","Counts should not be announced as dynamic changes when they are static page content.","Reuse existing build-time data; do not add API calls.","low","medium","Only include counts if they fall out of listStoreCollectionEntries without extra queries.","high"
"COMP-04","Components and reusable patterns","Store-specific token reuse","Use the existing Store accent and shared border/foreground tokens instead of adding a new palette or component theme.","Keeps Store distinct but consistent with the site design system.","UPPERGROUND demonstrates label colour used systematically; LNWY demonstrates the value of a narrow palette.","https://www.awwwards.com/sites/upperground; https://www.awwwards.com/sites/lnwy","UPPERGROUND and LNWY: Awwwards HM","State styling within the current BlackBox Store.","A complete rebrand with an approved new colour system.","Token combinations still require contrast checks in each state.","Zero new asset or dependency cost.","low","high","Use --store-accent, --store-accent-surface, --border, --foreground, and --muted-foreground only.","high"
"FORM-01","Forms and input behaviour","No search for four shelves","Do not add a search field to solve a four-choice category problem.","Keeps the header focused and avoids an input whose result model does not exist.","RTRFM and Highsnobiety justify search through far larger content sets; BlackBox does not share that scale.","https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/music/321707/rtrfm--the-sound-alternative; https://winners.webbyawards.com/2024/websites-and-mobile-sites/general-desktop-mobile-sites/fashion-style-beauty/280474/highsnobiety","RTRFM: Webby winner 2025; Highsnobiety: Webby People's Voice winner 2024","Current four-category Store header.","Future catalogs large enough that category browsing no longer finds known items.","Avoids adding labeling, clear-button, error, and keyboard requirements unnecessarily.","Avoids client state, indexing, and request cost.","low","high","Keep search out of this change.","high"
"FORM-02","Forms and input behaviour","No select as primary mobile navigation","Do not collapse the four shelves into a native or custom dropdown on mobile.","Keeps all destinations visible and removes an extra open/select step.","UPPERGROUND and The Cloister show composed mobile layouts rather than treating mobile as a hidden desktop menu.","https://www.awwwards.com/sites/upperground; https://www.awwwards.com/sites/the-cloister","UPPERGROUND and The Cloister: Awwwards HM","Four short destinations that fit in a two-column ledger.","Very large destination sets where visible links consume excessive height.","Visible links are easier to scan and preserve native link semantics.","Avoids JavaScript and custom-select code.","low","high","Use a two-by-two grid rather than a category select.","high"
"FORM-03","Forms and input behaviour","Search remains a separate future control","If Store search is later justified, place it beside or below the category system with an explicit label and independent state.","Prevents browse categories and keyword search from becoming one ambiguous control.","RTRFM uses scoped search within a larger portal; Splice separates editorial taxonomy from search.","https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/music/321707/rtrfm--the-sound-alternative; https://winners.webbyawards.com/2025/websites-and-mobile-sites/general-desktop-mobile-sites/music/334297/splice-blog","RTRFM: Webby winner 2025; Splice Blog: Webby nominee 2025","A later catalog with validated search need.","This header improvement, which has no search requirement.","Future input needs visible label, instructions, empty state, and keyboard behavior.","Would require indexing and client or server query work; defer until needed.","medium","low","Record this as excluded scope, not implementation work.","high"
"FORM-04","Forms and input behaviour","Links do not imitate filter toggles","Style category destinations as index cells or a rail, not as checkbox chips or pill toggles.","Communicates that each choice changes route and page context rather than mutating a local filter.","NAMESAKE uses browse navigation distinct from controls; BlackBox Distro already owns button-like format filtering.","https://www.cssdesignawards.com/sites/namesake/43003","NAMESAKE: CSSDA WOTD 2023","Route-based Store shelves.","In-page multi-select filtering with combinable values.","Native link semantics and aria-current are more appropriate than pressed/selected button states.","No control-state JavaScript.","low","high","Avoid pills and preserve square destination treatment.","high"
"STATE-01","Interaction states","Quiet hover preview","On hover, strengthen label and rule before navigation without moving layout.","Signals clickability and previews the active visual language.","District and RCA use typographic interaction; their more expressive motion can be reduced to colour and border feedback here.","https://www.cssdesignawards.com/sites/district/35283/; https://www.commarts.com/webpicks/rca-records","District: CSSDA WOTD 2019; RCA: Communication Arts Webpick","Pointer devices on the Store rail.","Touch-only assumptions or motion-heavy hover effects.","Hover cannot be the only way to reveal meaning.","Transition colour/border only.","low","high","Use hover text and border contrast without translation or scale.","high"
"STATE-02","Interaction states","Independent focus appearance","Give keyboard focus a visible ring or outline that is distinct from current and hover states.","Lets keyboard users locate focus even when the focused link is already current.","W3C focus guidance requires sufficient visible indication; award-site minimalism should not erase it.","https://www.w3.org/WAI/WCAG22/Understanding/focus-appearance.html; https://www.awwwards.com/sites/lnwy","W3C WCAG guidance; LNWY: Awwwards HM","Every category link.","No exception for this component.","Retain the global focus-visible treatment and test it on burgundy tint.","CSS only.","low","high","Do not replace the repository focus ring with only an underline.","high"
"STATE-03","Interaction states","Persistent current location","The active shelf stays visually marked after navigation and is programmatically exposed with aria-current.","Supports orientation across shell-managed page swaps and direct loads.","Compact browse systems in NAMESAKE and Highsnobiety maintain route context; W3C documents aria-current for navigation.","https://www.w3.org/WAI/WCAG22/Techniques/aria/ARIA26; https://www.cssdesignawards.com/sites/namesake/43003; https://winners.webbyawards.com/2024/websites-and-mobile-sites/general-desktop-mobile-sites/fashion-style-beauty/280474/highsnobiety","W3C technique; NAMESAKE: CSSDA WOTD 2023; Highsnobiety: Webby People's Voice winner 2024","Every Store shelf route.","Transient filters with no current-page meaning.","Keep exactly one aria-current page value in the set.","Server-rendered state; no runtime store.","low","high","Preserve current activeCategoryId logic and strengthen only presentation.","high"
"STATE-04","Interaction states","Pending navigation keeps geometry stable","During shell navigation, keep the rail dimensions and current marker stable until the next page replaces content.","Avoids layout jump and uncertain state during short route transitions.","A Light in the Woods uses deliberate transition language; BlackBox should reduce that idea to continuity rather than spectacle.","https://winners.webbyawards.com/2024/websites-and-mobile-sites/general-desktop-mobile-sites/music/281310/a-light-in-the-woods","A Light in the Woods: Webby nominee and People's Voice visual-design winner 2024","Existing app-shell transitions.","Long async filters that need explicit per-control progress.","Do not disable native links or trap focus during navigation.","Reuse the shell transition; add no component loader.","low","high","Leave loading ownership in AppShellRoot and avoid a new nav pending state.","high"
"MOTION-01","Motion and transitions","Colour and border transition only","Animate current/hover feedback through colour, background, and border over roughly 150–200ms.","Adds polish without turning a utility header into an attraction.","District, RCA, and UPPERGROUND use expressive interaction; the transferable minimum is immediate state confirmation.","https://www.cssdesignawards.com/sites/district/35283/; https://www.commarts.com/webpicks/rca-records; https://www.awwwards.com/sites/upperground","District: CSSDA WOTD 2019; RCA: Communication Arts Webpick; UPPERGROUND: Awwwards HM 2023","Hover and focus feedback.","Narrative hero sequences or deliberate immersive transitions.","Respect reduced-motion preferences even though colour changes are low motion.","Composite-free colour transitions are cheap at this scale.","low","high","Keep transition-colors and add no transforms.","high"
